HIP,RAICRS,DEICRS,Vmag,label
35228,109.20762844,-67.95717248,3.97,1
-1,108.68219197878878,-67.83879644685265,5.306627731140169,0
-1,108.89454107138835,-66.96096630529222,5.6610796959059035,0
-1,108.97443497367631,-68.24358075129648,5.259180865020559,0
-1,195.35231748140478,46.8654540459214,4.990962307293306,0
-1,196.09746098878855,46.550274999910926,6.0,0
-1,195.86223295270568,48.219791634147555,4.61622715428638,0
-1,198.49094209236472,48.924350598738606,4.499238999679945,0
-1,244.0287882323999,-12.315932674732313,6.0,0
-1,247.53124493490915,-11.530224591847835,5.649602633092376,0
-1,243.90372174545377,-11.225704475040068,5.248694837421224,0
-1,243.7217356167144,-12.490155921557944,6.0,0
77277,236.66647764,62.59969448,5.19,1
-1,236.19070020581051,62.25617470878246,4.71425673206709,0
-1,239.63745048514176,63.8043160822993,4.953881911999013,0
-1,238.45464514645377,62.14458445262184,4.875866552885543,0
-1,237.27630174540852,61.943160582982046,4.911980957959002,0
52340,160.46490038,-79.78330226,5.97,1
52595,161.3182296,-80.4695233,5.46,1
52633,161.44639899,-80.54020283,4.45,1
-1,160.0058024623154,-82.68878636574634,4.925153346453855,0
-1,161.62314059953002,-80.33195112553406,5.024944692524927,0
-1,32.820138843654384,-34.01277154357094,5.731626766739773,0
-1,32.273964575790245,-34.62789187559799,3.9965475684955036,0
-1,30.09499699427199,-37.36529198537378,4.647859184288457,0
-1,339.57609583241054,-50.99839918221338,5.375679160004829,0
-1,337.99189419044893,-49.814645974509936,5.513925790616916,0
-1,340.3346813452091,-51.454768686072356,5.213841868442027,0
-1,337.4933876966461,-48.701811652270045,5.0711518056494445,0
7007,22.54559597,6.14393314,4.84,1
-1,20.706961833569572,7.011305775646109,4.280361193954961,0
-1,21.093263487337197,3.889180495984033,4.9005917789636895,0
-1,22.09070428778068,3.948399112335042,4.484578525115829,0
-1,21.57246578261349,3.5292790757347583,4.843055989366902,0
41242,126.22998546,-23.15381698,5.67,1
41260,126.26565742,-24.04626227,5.32,1
-1,126.78396853471156,-24.723102814491718,4.954664107219539,0
-1,128.41571730324938,-22.977090122978176,4.636123625316067,0
-1,128.38555168287027,-21.95321776729717,5.284256664827388,0
-1,129.2835480300601,-24.65564693328205,3.7816395332099733,0
74117,227.21095653,-45.27979406,4.07,1
74449,228.20668641,-44.50035965,4.83,1
75264,230.67036465,-44.68957314,3.37,1
-1,229.93927432998504,-45.298567067746575,4.254690549891419,0
-1,227.5846872802249,-45.774204741887914,5.4822685125889095,0
-1,230.5618056602362,-45.48622225257323,5.134503508220417,0
-1,227.61216030584612,-43.888103322363264,5.544553934775077,0
97063,295.88936752,-15.46965541,5.49,1
98258,299.48758471,-15.49126255,5.01,1
